தேதி,மருந்து,செயல்,விவரங்கள்
2024-12-27 09:21:09,Aztor ,சேர்க்கப்பட்டது,ஆரம்ப கையிருப்பு: 10
2024-12-27 12:25:13,cardivas,சேர்க்கப்பட்டது,ஆரம்ப கையிருப்பு: 0
2024-12-27 19:55:23,DEPLATT A,சேர்க்கப்பட்டது,"அளவு: 150 MG, கையிருப்பு: 31"
2024-12-27 19:56:14,AZTOR,சேர்க்கப்பட்டது,"அளவு: 40 MG, கையிருப்பு: 31"
2024-12-27 19:58:54,CARDIVAS,சேர்க்கப்பட்டது,"அளவு: 3.125 MG, கையிருப்பு: 31"
2024-12-27 20:00:12,SACURISE,சேர்க்கப்பட்டது,"அளவு:  50, கையிருப்பு: 31"
2024-12-27 20:03:58,RIVAFLO,சேர்க்கப்பட்டது,"அளவு: 2.5 MG, கையிருப்பு: 31"
2024-12-27 20:04:51,DYTOR PLUS,சேர்க்கப்பட்டது,"அளவு: 10 MG, கையிருப்பு: 31"
2024-12-27 20:07:18,LIVOGEN XT,சேர்க்கப்பட்டது,"அளவு: O, கையிருப்பு: 31"
2024-12-27 20:10:08,LINAHENZ,சேர்க்கப்பட்டது,"அளவு: 5 MG, கையிருப்பு: 31"
2024-12-27 20:10:40,GLYCOMET,சேர்க்கப்பட்டது,"அளவு: 850 MG, கையிருப்பு: 31"
2024-12-27 20:11:26,NUTSUMIN-GOLD,சேர்க்கப்பட்டது,"அளவு: 10 S, கையிருப்பு: 31"
